fips,name,pop2010,pop2020,pctchg
3100046030,South Sioux City,13365,12809,-4.16
4200071776,Somerset borough,6278,5855,-6.74
2700061006,Sobieski,197,201,2.03
1900073335,Sioux City,82693,82651,-0.05
1900073290,Sioux Center,7036,7605,8.09
3900072578,Sinking Spring village,134,133,-0.75
2100070752,Simpsonville,2487,2923,17.53
2900067632,Shoal Creek Estates village,96,94,-2.08
3600066949,Sherman village,730,677,-7.26
3900071360,Senecaville village,463,449,-3.02
4000066250,Seiling,851,855,0.47
600049852,Mount Shasta,3392,3274,-3.48
100051520,Mosses town,1030,874,-15.15
2700043810,Montrose,2837,3317,16.92
2800054040,Olive Branch,33487,38924,16.24
600048872,Monterey,27691,28178,1.76
4800048804,Missouri City,66534,75457,13.41
600045400,Manhattan Beach,35131,35183,0.15
200042050,Koyukuk,96,92,-4.17
1900052815,Mingo,302,309,2.32
4700048920,Milledgeville town,269,264,-1.86
3900049728,Middle Point village,576,562,-2.43
2000057300,Potwin,453,437,-3.53
3900049098,Mentor-on-the-Lake,7439,7390,-0.66
3100028350,Litchfield village,262,249,-4.96
2200049240,Maurice village,1058,1609,52.08
4700058080,Pigeon Forge,5866,6266,6.82
5500050700,Mellen,729,695,-4.66
3000043450,Libby,2602,2779,6.8
1300050596,Meansville,210,214,1.9
4100038000,Junction City,5349,6229,16.45
4800045672,McGregor,4987,5331,6.9
3900045822,McConnelsville village,1780,1749,-1.74
4200043928,Little Meadows borough,273,247,-9.52
2900035000,Independence,116812,116672,-0.12
3900045626,Lyons village,566,548,-3.18
3800051380,Max,336,349,3.87
5500062175,Peshtigo,3499,3345,-4.4
5300040805,Lynden,12006,15223,26.79
4800035636,Huxley,380,382,0.53
1700068458,Seaton village,222,202,-9.01
3600067510,Skaneateles village,2457,2465,0.33
3800052940,Milnor,653,634,-2.91
600042202,Lodi,62121,67586,8.8
4800065690,Santa Clara,696,751,7.9
1700047007,Markham,12533,12314,-1.75
1200043175,Marianna,7563,5803,-23.27
2700039878,Mankato,39847,42931,7.74
2800044680,Magnolia,2419,2212,-8.56
3100030940,Martinsburg village,94,88,-6.38
2800046880,Metcalfe town,1067,965,-9.56
1700047540,Matteson village,19026,19448,2.22
4000044150,Loveland town,13,12,-7.69
5300060055,Roslyn,893,958,7.28
600044364,Loyalton,766,702,-8.36
1900046335,Lone Tree,1302,1381,6.07
5500045575,Lone Rock village,887,835,-5.86
4000043750,Lone Grove,4829,5121,6.05
800045530,Lochbuie town,4729,7304,54.45
2900041870,Lexington,4724,4534,-4.02
4200061536,Plum borough,27108,27087,-0.08
3700043720,Mocksville town,5058,5252,3.84
1700048073,Media village,107,94,-12.15
200055910,North Pole,2112,2094,-0.85
4100042600,Lincoln City,8282,9170,10.72
1300056644,Nunez,147,145,-1.36
4000039200,Kenefic town,196,217,10.71
4200049368,Milesburg borough,1099,1076,-2.09
1900051105,Menlo,353,347,-1.7
5500068725,Rockdale village,214,216,0.93
100044608,Loxley town,1806,3049,68.83
1700038921,Kangley village,251,233,-7.17
3400036000,Jersey City,247608,262075,5.84
4800039352,Kingsville,26450,25315,-4.29
200061630,Point Hope,674,715,6.08
4200070224,Shickshinny borough,831,813,-2.17
2000039400,Lenora,250,230,-8
1900072660,Sherrill,179,178,-0.56
3100045225,Shubert village,150,138,-8
1200033900,Interlachen town,1477,1471,-0.41
2900034228,Iberia,733,749,2.18
3400065160,Runnemede borough,8465,8300,-1.95
5400043780,Kimball town,194,153,-21.13
500045560,Midway town,391,391,0
2700036494,Leonard,43,43,0
1300065324,Ringgold,3492,3630,3.95
1900059475,Orange City,6060,6182,2.01
4800051396,New Waverly,1032,1071,3.78
100048064,Mentone town,360,368,2.22
4700041200,La Vergne,32597,35716,9.57
1900044130,Ledyard,130,120,-7.69
500033910,Hunter town,105,93,-11.43
4000039950,Kinta town,324,316,-2.47
800050920,Minturn town,1086,1145,5.43
4200040272,Knox borough,1148,1069,-6.88
800054880,Norwood town,518,579,11.78
4600040860,Marion,784,780,-0.51
800070250,Silver Cliff town,581,667,14.8
3900069204,Rushville village,307,309,0.65
3700047020,Newton Grove town,569,565,-0.7
4800053304,O'Brien,106,102,-3.77
1700040884,Lake Barrington village,4955,4868,-1.76
5500060200,Oregon village,9315,10571,13.48
1900040890,Keomah Village,96,97,1.04
3600047405,Mill Neck village,945,967,2.33
4200058936,Penndel borough,2322,2157,-7.11
4800050076,Murchison,592,599,1.18
4800044176,Lott,761,742,-2.5
600039003,La CaÒada Flintridge,20256,20009,-1.22
1700037179,Ina village,2334,2279,-2.36
3900037464,Ironton,11120,10532,-5.29
5400042244,Junior town,520,486,-6.54
2200039055,Kaplan,4608,4422,-4.04
2000061825,Russell,4506,4423,-1.84
4200051912,Mount Pocono borough,3179,3119,-1.89
4200050736,Montrose borough,1624,1477,-9.05
4000039800,Kildare town,100,94,-6
2800037560,Kilmichael town,699,557,-20.31
4800037924,Jolly,171,163,-4.68
500038110,Lake View,443,358,-19.19
2700033236,Kinbrae,12,12,0
5300047490,Mountlake Terrace,19882,21338,7.32
1700046279,Malta village,1169,1158,-0.94
2000063425,Schoenchen,207,205,-0.97
1600045370,Lapwai,1128,1137,0.8
2800040640,Liberty town,726,667,-8.13
200040400,Klawock,755,787,4.24
500037300,Knoxville town,733,756,3.14
4200053464,New Cumberland borough,7277,7288,0.15
2900050060,Morrison,136,130,-4.41
2700040688,Marshall,13691,13487,-1.49
5400050932,Man town,758,630,-16.89
2700035702,La Salle,88,85,-3.41
1900063570,Pleasanton,48,44,-8.33
1200053500,Otter Creek town,134,134,0
2000033525,Hunter,59,54,-8.47
2100059322,Parkway Village,650,660,1.54
3700057800,Roseboro town,1191,1167,-2.02
2900040034,Lake Ozark,1598,1828,14.39
1200038600,Lake Park town,8055,8556,6.22
4700041860,Lewisburg,11100,12368,11.42
3000058450,Plevna town,162,147,-9.26
3400038610,Lambertville,3922,3801,-3.09
5500054650,Mount Calvary village,764,753,-1.44
4200041264,Landingville borough,159,150,-5.66
4200062752,Prospect borough,1169,1109,-5.13
3500039380,Las Cruces,97706,103432,5.86
4000044000,Lookeba town,166,162,-2.41
2000053225,Osawatomie,4438,4284,-3.47
1900064200,Portsmouth,195,178,-8.72
1900043590,Latimer,502,470,-6.37
4200051496,Mount Carmel borough,5882,5724,-2.69
4600033580,Kennebec town,240,247,2.92
3900045094,Louisville,9273,9360,0.94
4800049860,Mount Vernon town,2778,2738,-1.44
1700068198,Sciota village,61,56,-8.2
600050076,Murrieta,103731,116223,12.04
500063710,Sheridan,4616,4929,6.78
4200065336,Robesonia borough,2055,2067,0.58
2900048242,Miller,699,681,-2.58
3900054838,New Knoxville village,879,866,-1.48
2600069035,Rochester Hills,70987,74516,4.97
1800051336,Mount Ayr town,121,117,-3.31
2800062560,Rienzi town,317,308,-2.84
3400059640,Pleasantville,20272,20149,-0.61
3800056740,New Town,1925,2592,34.65
1900063975,Pocahontas,1789,1634,-8.66
500051560,Ola,1270,1209,-4.8
500056480,Plumerville,808,772,-4.46
1800052524,Newberry town,193,185,-4.15
100054600,Newville town,539,512,-5.01
3600051055,Niagara Falls,50031,47720,-4.62
3400039210,Laurel Springs borough,1905,1866,-2.05
4800051840,Normangee town,685,706,3.07
1200049225,North Bay Village,7141,8057,12.83
3900064430,Potsdam village,288,297,3.13
4800051984,North Cleveland,245,298,21.63
3600051792,North Collins village,1227,1195,-2.61
4500050560,North town,771,708,-8.17
2100056730,Northfield,1020,1051,3.04
1900052275,Millerton,45,42,-6.67
2600059440,Novi,55232,60896,10.25
4700053600,Norris,1593,1602,0.56
3800058740,Oakes,1852,1701,-8.15
1200050750,Ocala,56568,60786,7.46
3700048700,Ocean Isle Beach town,545,665,22.02
100040096,Kinston town,540,547,1.3
3900057918,Octa village,59,58,-1.69
500051290,Oden town,232,215,-7.33
2000052275,Ogden,2080,1958,-5.87
5500068475,Roberts village,1651,1889,14.42
4200056456,Oil City,10549,9618,-8.83
2800053680,Okolona,2712,2591,-4.46
500033940,Huntington,633,621,-1.9
4600047180,Onida,658,634,-3.65
4000055850,Optima town,356,372,4.49
4200056912,Orangeville borough,500,479,-4.2
3100037280,Ord,2140,2076,-2.99
2200070245,Sicily Island village,523,465,-11.09
1900059565,Orient,408,377,-7.6
1200058715,Port St. Lucie,164203,201846,22.92
1700048424,Meredosia village,1046,972,-7.07
1900060240,Oto,110,103,-6.36
800056475,Ovid town,318,300,-5.66
2800054840,Oxford,22136,28122,27.04
4200059520,Perryopolis borough,1784,1666,-6.61
5400044044,Kingwood,3055,3057,0.07
4100056250,Paisley,243,242,-0.41
1800057780,Paoli town,3691,3627,-1.73
5400062332,Paw Paw town,508,492,-3.15
4800054804,Palmview,5472,5774,5.52
4000057100,Paoli town,610,613,0.49
4800047616,Memphis,2290,2012,-12.14
1700057732,Park Forest village,21981,21210,-3.51
5100064000,Portsmouth,95526,94398,-1.18
3900061056,Parral village,218,212,-2.75
1200055475,Paxton town,637,856,34.38
3600056979,Peekskill,23589,24295,2.99
2700050470,Perham,3006,3645,21.26
4800068828,Sour Lake,1813,1924,6.12
3400039420,Lawnside borough,2948,2882,-2.24
100059328,Petrey town,58,56,-3.45
5400063292,Philippi,2963,3257,9.92
2700050776,Pierz,1387,1365,-1.59
100039784,Killen town,993,955,-3.83
4800059636,Progreso,5501,5944,8.05
2800058360,Pittsboro village,202,192,-4.95
4800040696,Lakeport,974,996,2.26
3900063436,Pleasant City village,443,423,-4.51
200041830,Kotzebue,3201,3246,1.41
100061536,Pollard town,137,136,-0.73
1700061015,Pontiac,11930,11253,-5.67
1300062104,Pooler,18489,25694,38.97
2800059240,Pope village,258,248,-3.88
2000063750,Sedan,1126,998,-11.37
600058380,Portola Valley town,4353,4568,4.94
500057080,Poyen town,287,282,-1.74
4000040800,Lake Aluma town,88,91,3.41
600039220,Laguna Hills,30673,31207,1.74
3100039345,Plattsmouth,6504,6441,-0.97
3900065662,Rayland village,417,393,-5.76
1700055379,Ohio village,513,480,-6.43
3400062430,Red Bank borough,12227,11966,-2.13
3500047080,Maxwell village,243,212,-12.76
2700053620,Red Wing,16457,16320,-0.83
4100061300,Reedsport,4128,4112,-0.39
4900064120,River Heights,1842,2076,12.7
3900067440,Riverlea village,547,565,3.29
4800038800,Kempner,1090,1140,4.59
100065208,Robertsdale,5603,6815,21.63
1700065078,Rock Island,38985,37176,-4.64
3800072180,Sheldon,118,125,5.93
4100063450,Rogue River,2127,2331,9.59
4800063008,Rollingwood,1398,1585,13.38
4800063020,Roma,10861,11490,5.79
3900067272,Ripley village,1749,1697,-2.97
4200066720,Rural Valley borough,880,814,-7.5
1200036175,Kenneth City town,5036,5121,1.69
4800064088,Sadler,347,383,10.37
2000033200,Horton,1769,1685,-4.75
1900037155,Hopkinton,628,597,-4.94
4900036400,Hooper,7147,9152,28.05
3100023025,Hooper,832,838,0.72
3400032250,Hoboken,50020,52677,5.31
5500034825,Hillsboro,1409,1393,-1.14
2900032248,Hillsboro,2871,3292,14.66
2000031850,Highland,1017,995,-2.16
3400031320,High Bridge borough,3645,3410,-6.45
3100022325,Hickman,1659,2371,42.92
2900031762,Hermann,2436,2342,-3.86
600033182,Hemet,78630,85334,8.53
1800032818,Hebron town,3711,3670,-1.1
5100035976,Haymarket town,1477,1676,13.47
3700030280,Hayesville town,455,483,6.15
3700030120,Havelock,20792,19854,-4.51
2100034966,Harrodsburg,8362,8533,2.04
4100014750,Columbia City,1950,2022,3.69
3600016936,Cold Spring village,2009,1947,-3.09
5100017952,Coeburn town,2040,1845,-9.56
1300007612,Bethlehem town,613,725,18.27
500029650,Hampton,1322,1258,-4.84
3500015720,Clayton town,2977,2681,-9.94
1900013575,Clarinda,5585,5366,-3.92
1700015352,Coffeen,685,644,-5.99
2700018188,Edina,47980,52857,10.16
3900026348,Fairview village,83,81,-2.41
3800034020,Gwinner,753,937,24.44
4500013150,Chapin town,1428,1633,14.36
1800029682,Greensboro town,143,137,-4.2
1900003475,Atkins,1668,1970,18.11
2000013425,Claflin,645,601,-6.82
1700010292,Cabery village,266,246,-7.52
1700036126,Hopedale village,869,825,-5.06
3700009360,Butner town,7589,7859,3.56
2000009700,Bushton,281,255,-9.25
4700002380,Atwood town,953,919,-3.57
1200009700,Callahan town,1113,1360,22.19
3900006068,Bethel village,2706,2811,3.88
2000009350,Burlingame,933,901,-3.43
4000009850,Buffalo town,1293,1287,-0.46
2000014600,Coffeyville,10306,9275,-10
1700008979,Browns village,134,129,-3.73
2700008056,Brookston,141,141,0
1700020890,Du Bois village,205,189,-7.8
3000009775,Broadview town,192,183,-4.69
100003724,Bakerhill town,279,252,-9.68
1700007744,Bradley village,15895,15314,-3.66
800017760,Craig,9468,9022,-4.71
4100008650,Brookings,6354,6480,1.98
4800016120,Colorado City,4143,3857,-6.9
5300000100,Aberdeen,16872,16756,-0.69
4200027112,Foxburg borough,183,174,-4.92
5500011200,Burlington,10552,10980,4.06
4500007210,Bluffton town,13054,25557,95.78
4900035740,Hinckley town,696,716,2.87
2000003025,Athol,44,41,-6.82
4800010216,Briaroaks,488,507,3.89
1600003610,Ashton,1127,1050,-6.83
3700010860,Castalia town,265,270,1.89
2900005464,Bigelow village,27,24,-11.11
1800019486,East Chicago,29698,27817,-6.33
4000030600,Gracemont town,318,306,-3.77
2700022364,Franklin,512,469,-8.4
4800004516,Atlanta,5670,5472,-3.49
3800028780,Fullerton,54,53,-1.85
3100003285,Bayard,1209,1084,-10.34
3900012112,Carey village,3676,3554,-3.32
3400001030,Alpha borough,2368,2255,-4.77
5500007725,Black Creek village,1316,1308,-0.61
2700006616,Bloomington,82893,84943,2.47
4500013600,Cheraw town,5889,5562,-5.55
4800011692,Cactus,3179,3245,2.08
3600021105,Dunkirk,12554,11756,-6.36
1700000568,Albion,2003,1899,-5.19
1900019495,Deep River,279,270,-3.23
200004210,Atka,61,81,32.79
3600016628,Cobleskill village,4672,4356,-6.76
800001090,Alamosa,8876,9591,8.06
4500030490,Great Falls town,1976,1877,-5.01
5500004625,Baraboo,12063,12165,0.85
3800020940,Dunn Center,146,191,30.82
2600015020,Chelsea,4936,5416,9.72
3600001088,Alden village,2605,2569,-1.38
1900000370,Adair,781,713,-8.71
5400013924,Cedar Grove town,997,907,-9.03
3900004402,Bay View village,632,602,-4.75
4000032050,Hallett town,125,124,-0.8
4000008450,Braman town,217,202,-6.91
2600000440,Adrian,21189,20600,-2.78
600015044,Compton,96404,95605,-0.83
1800032332,Hartsville town,369,400,8.4
1200007950,Bradenton,49273,59439,20.63
3900000436,Addyston village,945,936,-0.95
4800030440,Grandfalls town,360,403,11.94
1300001248,Aldora town,103,109,5.83
5500005325,Bay City village,500,494,-1.2
3400014260,Collingswood borough,13939,13884,-0.39
1900029595,Galva,434,419,-3.46
3900019344,Creston village,2143,2170,1.26
3900001742,Amelia village,4805,5039,4.87
1000005690,Bethany Beach town,1055,1245,18.01
2800016460,Crenshaw town,888,845,-4.84
1200012325,Cinco Bayou town,383,445,16.19
500023800,Fisher,223,213,-4.48
3400002110,Atlantic Highlands borough,4381,4351,-0.68
4200003120,Arona borough,370,346,-6.49
2900002638,Auxvasse,985,978,-0.71
4500030535,Greeleyville town,429,380,-11.42
200002080,Anaktuvuk Pass,324,343,5.86
3800010060,Buchanan,90,110,22.22
400009690,Camp Verde town,10875,11187,2.87
3400004990,Belvidere town,2686,2561,-4.65
1300004644,Avondale Estates,2956,3129,5.85
2900027100,Ginger Blue village,55,54,-1.82
100012496,Castleberry town,594,540,-9.09
2700003250,Balaton,641,624,-2.65
1900008425,Bridgewater,176,151,-14.2
1200026075,Glen St. Mary town,439,460,4.78
3800004580,Balta,65,59,-9.23
3100004615,Bertrand village,750,709,-5.47
4800022984,Electra,2791,2730,-2.19
1300021688,Danville town,238,212,-10.92
2900022951,Evergreen village,28,28,0
4800032984,Heath,7329,9331,27.32
1600005230,Basalt,394,408,3.55
3600004803,Baxter Estates village,1047,1049,0.19
2900011728,Carytown,271,283,4.43
4600006940,Brandt town,108,107,-0.93
800017925,Crawford town,432,433,0.23
2900015760,Commerce village,67,66,-1.49
2600022120,DeWitt,4492,4808,7.03
2000019600,Easton,254,258,1.57
2700020420,Falcon Heights,5323,5528,3.85
4800031628,Gustine town,476,468,-1.68
5300029920,Hartline town,151,154,1.99
3900002582,Ashley village,1330,1608,20.9
3800001700,Almont,118,119,0.85
2000031475,Herndon,131,130,-0.76
3100004650,Berwyn village,83,80,-3.61
100024808,Evergreen,3952,3526,-10.78
4200005384,Bellwood borough,1848,1751,-5.25
1800009910,Camden town,620,619,-0.16
2700011674,Clarks Grove,719,687,-4.45
4800016624,Copperas Cove,32247,33235,3.06
2200032930,Harahan,9259,9250,-0.1
1700014273,Chrisman,1383,1265,-8.53
600001514,Amador City,182,190,4.4
4800003696,Archer City,1834,1702,-7.2
4200027712,Freedom borough,1569,1472,-6.18
2900026974,Gideon,1093,972,-11.07
4200010792,Callensburg borough,208,192,-7.69
2000028900,Grinnell,259,230,-11.2
2600029000,Flint,102266,95538,-6.58
2400021325,Cumberland,20824,19284,-7.4
3700014100,Concord,79389,96341,21.35
2100031402,Glenview Hills,319,330,3.45
2700008218,Brownsville,491,505,2.85
1700021605,East Cape Girardeau village,387,286,-26.1
1700010695,Camden village,86,78,-9.3
2200024180,Erath town,2114,2039,-3.55
5600017645,Cowley town,659,761,15.48
2700018674,Elk River,22960,25213,9.81
4800017564,Crawford town,757,827,9.25
1900019585,Defiance,284,263,-7.39
1000025840,Farmington town,110,122,10.91
800018640,Crook town,110,109,-0.91
4800017816,Cross Plains town,982,986,0.41
4800018476,Daisetta,960,1124,17.08
4800019000,Dallas,1197658,1343573,12.18
2900019216,Desloge,5072,4882,-3.75
4200018136,Danville borough,4699,4648,-1.09
4800005264,Bailey,289,305,5.54
4200022832,Elderton borough,356,335,-5.9
1200016875,DeLand,26852,34851,29.79
3700016980,Denton town,1638,1680,2.56
1200017325,Destin,12150,14247,17.26
2700024470,Goodridge,132,129,-2.27
4000028950,Gene Autry town,168,165,-1.79
4000020550,Dewey,3408,3384,-0.7
1800008146,Brookston town,1576,1533,-2.73
1700020162,Dixon,15766,15115,-4.13
5600013150,Casper,55316,57931,4.73
3400018070,Dover town,18158,17725,-2.38
4000030200,Goodwell town,1293,1270,-1.78
4700022000,Dunlap,4842,5176,6.9
4100021250,Durham,1351,1928,42.71
1800019270,Dyer town,16367,15976,-2.39
5500021425,Eagle village,2005,2159,7.68
4900020890,East Carbon,1678,1584,-5.6
3000023125,East Helena,2011,2103,4.57
3400019360,East Newark borough,2449,2600,6.17
3600025428,Farnham village,383,371,-3.13
1900014925,Coggon,670,667,-0.45
3800038100,Hillsboro,1612,1624,0.74
3900024640,Edon village,838,810,-3.34
3900034748,Heath,10288,10942,6.36
1700022931,Elburn village,5596,5997,7.17
100023344,Eldridge town,130,123,-5.38
4200022960,Elgin borough,218,205,-5.96
4200023016,Elizabethtown borough,11514,11445,-0.6
5600024025,Elk Mountain town,191,185,-3.14
2700015184,Deer Creek,322,321,-0.31
1700005573,Berwyn,56653,54391,-3.99
1700023425,Elliott village,296,269,-9.12
3600007190,Bolivar village,1047,976,-6.78
3600024229,Elmira,29242,27054,-7.48
2000006175,Benton,886,871,-1.69
3100015920,Endicott village,132,125,-5.3
3400000100,Absecon,8498,8818,3.77
4800010072,Brazoria,3029,3056,0.89
3600024713,Esperance village,345,325,-5.8
3000024850,Eureka town,1403,1406,0.21
4600028420,Herrick town,105,103,-1.9
4000025400,Fanshawe town,419,405,-3.34
2900023752,Farmington,16293,19113,17.31
1700031667,Greenwood village,235,226,-3.83
2700003970,Battle Lake,875,929,6.17
2900030196,Hanley Hills village,2125,2101,-1.13
