fips,state_fips,name
56001,56000,Albany County
55081,55000,Monroe County
55078,55000,Menominee County
55003,55000,Ashland County
54085,54000,Ritchie County
54005,54000,Boone County
54003,54000,Berkeley County
53059,53000,Skamania County
53033,53000,King County
51177,51000,Spotsylvania County
51173,51000,Smyth County
51035,51000,Carroll County
50013,50000,Grand Isle County
48369,48000,Parmer County
48455,48000,Trinity County
47151,47000,Scott County
47093,47000,Knox County
47081,47000,Hickman County
47009,47000,Blount County
46061,46000,Hanson County
46037,46000,Day County
45067,45000,Marion County
42111,42000,Somerset County
42107,42000,Schuylkill County
41035,41000,Klamath County
40145,40000,Wagoner County
40121,40000,Pittsburg County
38043,38000,Kidder County
37191,37000,Wayne County
37081,37000,Guilford County
36053,36000,Madison County
48297,48000,Live Oak County
35029,35000,Luna County
35017,35000,Grant County
31151,31000,Saline County
30079,30000,Prairie County
30003,30000,Big Horn County
29203,29000,Shannon County
29201,29000,Scott County
51079,51000,Greene County
29033,29000,Carroll County
28151,28000,Washington County
28031,28000,Covington County
27149,27000,Stevens County
27131,27000,Rice County
27091,27000,Martin County
27065,27000,Kanabec County
26085,26000,Lake County
26037,26000,Clinton County
26015,26000,Barry County
26003,26000,Alger County
25025,25000,Suffolk County
25019,25000,Nantucket County
24001,24000,Allegany County
23021,23000,Piscataquis County
22103,22000,St. Tammany Parish
22101,22000,St. Mary Parish
22025,22000,Catahoula Parish
21081,21000,Grant County
21045,21000,Casey County
20191,20000,Sumner County
20187,20000,Stanton County
20119,20000,Meade County
48081,48000,Coke County
20089,20000,Jewell County
19105,19000,Jones County
19079,19000,Hamilton County
18151,18000,Steuben County
48373,48000,Polk County
18021,18000,Clay County
18001,18000,Adams County
17187,17000,Warren County
17141,17000,Ogle County
17099,17000,LaSalle County
17075,17000,Iroquois County
17067,17000,Hancock County
17037,17000,DeKalb County
16077,16000,Power County
16067,16000,Minidoka County
16011,16000,Bingham County
15005,15000,Kalawao County
13233,13000,Polk County
12109,12000,St. Johns County
10001,10000,Kent County
41065,41000,Wasco County
8123,8000,Weld County
51023,51000,Botetourt County
48371,48000,Pecos County
6011,6000,Colusa County
4019,4000,Pima County
2170,2000,Matanuska-Susitna Borough
1121,1000,Talladega County
1119,1000,Sumter County
1113,1000,Russell County
1101,1000,Montgomery County
1023,1000,Choctaw County
1003,1000,Baldwin County
55095,55000,Polk County
54039,54000,Kanawha County
54011,54000,Cabell County
53051,53000,Pend Oreille County
53045,53000,Mason County
49053,49000,Washington County
48459,48000,Upshur County
48317,48000,Martin County
48309,48000,McLennan County
48227,48000,Howard County
48177,48000,Gonzales County
48105,48000,Crockett County
48015,48000,Austin County
48007,48000,Aransas County
47185,47000,White County
47155,47000,Sevier County
47131,47000,Obion County
47121,47000,Meigs County
47017,47000,Carroll County
47003,47000,Bedford County
46125,46000,Turner County
46107,46000,Potter County
46073,46000,Jerauld County
41019,41000,Douglas County
40031,40000,Comanche County
40017,40000,Canadian County
39093,39000,Lorain County
39053,39000,Gallia County
39039,39000,Defiance County
39029,39000,Columbiana County
38035,38000,Grand Forks County
37139,37000,Pasquotank County
37125,37000,Moore County
35061,35000,Valencia County
31185,31000,York County
31077,31000,Greeley County
29067,29000,Douglas County
37099,37000,Jackson County
27173,27000,Yellow Medicine County
27147,27000,Steele County
26159,26000,Van Buren County
26147,26000,St. Clair County
26109,26000,Menominee County
26033,26000,Chippewa County
24023,24000,Garrett County
24009,24000,Calvert County
22081,22000,Red River Parish
22037,22000,East Feliciana Parish
22021,22000,Caldwell Parish
21211,21000,Shelby County
21191,21000,Pendleton County
21185,21000,Oldham County
21151,21000,Madison County
21069,21000,Fleming County
26081,26000,Kent County
21025,21000,Breathitt County
21019,21000,Boyd County
20015,20000,Butler County
54067,54000,Nicholas County
19165,19000,Shelby County
39071,39000,Highland County
19017,19000,Bremer County
29047,29000,Clay County
18019,18000,Clark County
37109,37000,Lincoln County
17005,17000,Bond County
13171,13000,Lamar County
13121,13000,Fulton County
13091,13000,Dodge County
13045,13000,Carroll County
13015,13000,Bartow County
12071,12000,Lee County
8091,8000,Ouray County
8043,8000,Fremont County
37199,37000,Yancey County
6109,6000,Tuolumne County
5123,5000,St. Francis County
5087,5000,Madison County
5033,5000,Crawford County
2261,2000,Valdez-Cordova Census Area
1035,1000,Conecuh County
56023,56000,Lincoln County
54051,54000,Marshall County
54013,54000,Calhoun County
48333,48000,Mills County
48285,48000,Lavaca County
48231,48000,Hunt County
48183,48000,Gregg County
48173,48000,Glasscock County
48195,48000,Hansford County
48133,48000,Eastland County
48119,48000,Delta County
48071,48000,Chambers County
47173,47000,Union County
47163,47000,Sullivan County
47057,47000,Grainger County
47001,47000,Anderson County
49039,49000,Sanpete County
45057,45000,Lancaster County
42071,42000,Lancaster County
42027,42000,Centre County
42017,42000,Bucks County
41023,41000,Grant County
40125,40000,Pottawatomie County
40117,40000,Pawnee County
40111,40000,Okmulgee County
40099,40000,Murray County
40069,40000,Johnston County
40055,40000,Greer County
39073,39000,Hocking County
39013,39000,Belmont County
39001,39000,Adams County
38033,38000,Golden Valley County
37175,37000,Transylvania County
37171,37000,Surry County
37117,37000,Martin County
37045,37000,Cleveland County
36079,36000,Putnam County
36023,36000,Cortland County
39019,39000,Carroll County
35011,35000,De Baca County
34039,34000,Union County
34019,34000,Hunterdon County
31059,31000,Fillmore County
31051,31000,Dixon County
30077,30000,Powell County
29213,29000,Taney County
29001,29000,Adair County
28089,28000,Madison County
28061,28000,Jasper County
28043,28000,Grenada County
27145,27000,Stearns County
27083,27000,Lyon County
27051,27000,Grant County
27001,27000,Aitkin County
34003,34000,Bergen County
26057,26000,Gratiot County
26047,26000,Emmet County
26045,26000,Eaton County
26027,26000,Cass County
24037,24000,St. Mary's County
24015,24000,Cecil County
23001,23000,Androscoggin County
48425,48000,Somervell County
21075,21000,Fulton County
20199,20000,Wallace County
20085,20000,Jackson County
39027,39000,Clinton County
20017,20000,Chase County
18177,18000,Wayne County
18007,18000,Benton County
17161,17000,Rock Island County
17023,17000,Clark County
16043,16000,Fremont County
16009,16000,Benewah County
13237,13000,Putnam County
37123,37000,Montgomery County
13159,13000,Jasper County
13149,13000,Heard County
13135,13000,Gwinnett County
13025,13000,Brantley County
21139,21000,Livingston County
28059,28000,Jackson County
5059,5000,Hot Spring County
5025,5000,Cleveland County
37015,37000,Bertie County
4012,4000,La Paz County
2282,2000,Yakutat City and Borough
1065,1000,Hale County
56035,56000,Sublette County
55123,55000,Vernon County
54049,54000,Marion County
53053,53000,Pierce County
53037,53000,Kittitas County
51147,51000,Prince Edward County
51073,51000,Gloucester County
51057,51000,Essex County
51051,51000,Dickenson County
51049,51000,Cumberland County
51011,51000,Appomattox County
50007,50000,Chittenden County
48457,48000,Tyler County
48407,48000,San Jacinto County
48375,48000,Potter County
48287,48000,Lee County
48279,48000,Lamb County
48243,48000,Jeff Davis County
48153,48000,Floyd County
48123,48000,DeWitt County
47019,47000,Carter County
46137,46000,Ziebach County
45043,45000,Georgetown County
45029,45000,Colleton County
45025,45000,Chesterfield County
45023,45000,Chester County
44001,44000,Bristol County
42113,42000,Sullivan County
42075,42000,Lebanon County
42031,42000,Clarion County
40037,40000,Creek County
39081,39000,Jefferson County
39047,39000,Fayette County
39045,39000,Fairfield County
38097,38000,Traill County
38009,38000,Bottineau County
37145,37000,Person County
37141,37000,Pender County
37121,37000,Mitchell County
37103,37000,Jones County
37089,37000,Henderson County
37087,37000,Haywood County
37031,37000,Carteret County
35043,35000,Sandoval County
34027,34000,Morris County
32510,32000,Carson City
31027,31000,Cedar County
30095,30000,Stillwater County
30085,30000,Roosevelt County
30063,30000,Missoula County
29217,29000,Vernon County
29151,29000,Osage County
27165,27000,Watonwan County
27099,27000,Mower County
27039,27000,Dodge County
26103,26000,Marquette County
26025,26000,Calhoun County
23027,23000,Waldo County
23005,23000,Cumberland County
22027,22000,Claiborne Parish
21239,21000,Woodford County
21227,21000,Warren County
21179,21000,Nelson County
21007,21000,Ballard County
20195,20000,Trego County
20193,20000,Thomas County
20157,20000,Republic County
20131,20000,Nemaha County
20055,20000,Finney County
19155,19000,Pottawattamie County
27097,27000,Morrison County
19089,19000,Howard County
19071,19000,Fremont County
19015,19000,Boone County
18137,18000,Ripley County
17175,17000,Stark County
17105,17000,Livingston County
17061,17000,Greene County
17059,17000,Gallatin County
17031,17000,Cook County
17029,17000,Coles County
17021,17000,Christian County
16083,16000,Twin Falls County
16063,16000,Lincoln County
16033,16000,Clark County
16061,16000,Lewis County
15001,15000,Hawaii County
13295,13000,Walker County
13211,13000,Morgan County
13207,13000,Monroe County
22073,22000,Ouachita Parish
13183,13000,Long County
32015,32000,Lander County
13143,13000,Haralson County
13107,13000,Emanuel County
48249,48000,Jim Wells County
13027,13000,Brooks County
46121,46000,Todd County
12035,12000,Flagler County
40039,40000,Custer County
31119,31000,Madison County
48377,48000,Presidio County
6039,6000,Madera County
6021,6000,Glenn County
36093,36000,Schenectady County
5075,5000,Lawrence County
5051,5000,Garland County
48215,48000,Hidalgo County
1085,1000,Lowndes County
1063,1000,Greene County
56017,56000,Hot Springs County
55105,55000,Rock County
55073,55000,Marathon County
54019,54000,Fayette County
51097,51000,King and Queen County
48507,48000,Zavala County
48475,48000,Ward County
48437,48000,Swisher County
48411,48000,San Saba County
48409,48000,San Patricio County
48379,48000,Rains County
48269,48000,King County
48223,48000,Hopkins County
48205,48000,Hartley County
48191,48000,Hall County
48179,48000,Gray County
48139,48000,Ellis County
48049,48000,Brown County
47039,47000,Decatur County
46051,46000,Grant County
46015,46000,Brule County
45085,45000,Sumter County
45059,45000,Laurens County
42123,42000,Warren County
42051,42000,Fayette County
48435,48000,Sutton County
42001,42000,Adams County
41029,41000,Jackson County
40119,40000,Payne County
39163,39000,Vinton County
39035,39000,Cuyahoga County
39025,39000,Clermont County
38037,38000,Grant County
38027,38000,Eddy County
38013,38000,Burke County
38007,38000,Billings County
37197,37000,Yadkin County
37101,37000,Johnston County
37001,37000,Alamance County
36081,36000,Queens County
36011,36000,Cayuga County
36009,36000,Cattaraugus County
32031,32000,Washoe County
51840,51000,Winchester city
29125,29000,Maries County
29111,29000,Lewis County
29097,29000,Jasper County
29093,29000,Iron County
29065,29000,Dent County
29045,29000,Clark County
28077,28000,Lawrence County
27151,27000,Swift County
48209,48000,Hays County
27029,27000,Clearwater County
26149,26000,St. Joseph County
24019,24000,Dorchester County
22045,22000,Iberia Parish
21233,21000,Webster County
21195,21000,Pike County
21143,21000,Lyon County
21121,21000,Knox County
21049,21000,Clark County
54103,54000,Wetzel County
20087,20000,Jefferson County
20033,20000,Comanche County
19177,19000,Van Buren County
19145,19000,Page County
37009,37000,Ashe County
19005,19000,Allamakee County
18121,18000,Parke County
18013,18000,Brown County
48395,48000,Robertson County
17071,17000,Henderson County
17053,17000,Ford County
16087,16000,Washington County
16035,16000,Clearwater County
16029,16000,Caribou County
13291,13000,Union County
13257,13000,Stephens County
13193,13000,Macon County
13153,13000,Houston County
13129,13000,Gordon County
13057,13000,Cherokee County
12059,12000,Holmes County
9011,9000,New London County
8115,8000,Sedgwick County
8033,8000,Dolores County
8025,8000,Crowley County
48099,48000,Coryell County
6083,6000,Santa Barbara County
6059,6000,Orange County
6045,6000,Mendocino County
38061,38000,Mountrail County
6001,6000,Alameda County
31005,31000,Arthur County
5083,5000,Logan County
5007,5000,Benton County
2240,2000,Southeast Fairbanks Census Area
2013,2000,Aleutians East Borough
1131,1000,Wilcox County
55027,55000,Dodge County
53021,53000,Franklin County
51678,51000,Lexington city
51185,51000,Tazewell County
51159,51000,Richmond County
51153,51000,Prince William County
51047,51000,Culpeper County
49019,49000,Grand County
49007,49000,Carbon County
48441,48000,Taylor County
48345,48000,Motley County
48091,48000,Comal County
48027,48000,Bell County
48023,48000,Baylor County
47157,47000,Shelby County
47035,47000,Cumberland County
47013,47000,Campbell County
46085,46000,Lyman County
46049,46000,Faulk County
46027,46000,Clay County
45079,45000,Richland County
45031,45000,Darlington County
53069,53000,Wahkiakum County
42019,42000,Butler County
40115,40000,Ottawa County
40087,40000,McClain County
40013,40000,Bryan County
39109,39000,Miami County
38075,38000,Renville County
38039,38000,Griggs County
38031,38000,Foster County
37133,37000,Onslow County
37079,37000,Greene County
36089,36000,St. Lawrence County
35023,35000,Hidalgo County
