iso_country,iso_region,municipality
AD,AD-02,Canillo
AD,AD-03,Encamp
AD,AD-04,La Massana
AD,AD-05,Ordino
AD,AD-06,Sant Julià de Lòria
AD,AD-07,Andorra la Vella
AD,AD-08,Escaldes-Engordany
AE,AE-AJ,
AE,AE-AZ,
AF,AF-GHA,
AF,AF-HEL,
AF,AF-PKA,
AG,AG-10,
AI,AI-U-A,
AL,AL-06,
AL,AL-08,
AL,AL-10,
AL,AL-12,
AM,AM-GR,
AM,AM-SU,
AM,AM-VD,
AO,AO-CCU,
AO,AO-CNN,
AO,AO-CUS,
AO,AO-LSU,
AO,AO-LUA,
AO,AO-MOX,
AQ,AQ-U-A,
AR,AR-B,
AR,AR-E,
AR,AR-F,
AR,AR-G,
AR,AR-H,
AR,AR-K,
AR,AR-L,
AR,AR-N,
AR,AR-R,
AR,AR-S,
AR,AR-W,
AR,AR-X,
AR,AR-Z,
AS,AS-MA,
AT,AT-1,
AT,AT-3,
AT,AT-9,
AU,AU-NSW,
AU,AU-QLD,
AU,AU-SA,
AU,AU-TAS,
AU,AU-VIC,
AU,AU-WA,
AW,AW-U-A,
AZ,AZ-AGM,
AZ,AZ-AGS,
AZ,AZ-BIL,
AZ,AZ-GOY,
BA,BA-BIH,
BA,BA-SRP,
BD,BD-2,
BD,BD-3,
BD,BD-4,
BE,BE-VAN,
BE,BE-VBR,
BE,BE-VLI,
BE,BE-VOV,
BE,BE-VWV,
BE,BE-WBR,
BE,BE-WHT,
BE,BE-WLG,
BE,BE-WLX,
BE,BE-WNA,
BF,BF-BAL,
BF,BF-BAM,
BF,BF-BGR,
BF,BF-BLG,
BF,BF-BLK,
BF,BF-COM,
BF,BF-GAN,
BF,BF-GNA,
BF,BF-GOU,
BF,BF-HOU,
BF,BF-IOB,
BF,BF-KAD,
BF,BF-KEN,
BF,BF-KMP,
BF,BF-KOP,
BF,BF-KOS,
BF,BF-KOT,
BF,BF-LOR,
BF,BF-MOU,
BF,BF-NAM,
BF,BF-NAO,
BF,BF-NOU,
BF,BF-OUD,
BF,BF-PAS,
BF,BF-PON,
BF,BF-SEN,
BF,BF-SIS,
BF,BF-SMT,
BF,BF-SNG,
BF,BF-SOM,
BF,BF-SOR,
BF,BF-TAP,
BF,BF-TUI,
BF,BF-YAT,
BF,BF-ZON,
BF,BF-ZOU,
BG,BG-01,
BG,BG-02,
BG,BG-03,
