from,to,
49000,49019,
49000,49007,
49000,49023,
49000,49025,
49000,49043,
49000,49031,
49000,49009,
49000,49015,
49000,49001,
49000,49053,
49000,49047,
49000,49021,
49000,49039,
49000,49055,
49000,49017,
49000,49005,
49000,49057,
49000,49037,
49000,49029,
49000,49011,
49000,49041,
49000,49003,
49000,49035,
49000,49049,
49000,49051,
49000,49045,
49000,49027,
49000,49013,
49000,49033,
41000,41027,
41000,41013,
41000,41039,
41000,41031,
41000,41035,
41000,41065,
41000,41063,
41000,41071,
41000,41045,
41000,41003,
41000,41019,
41000,41001,
41000,41055,
41000,41053,
41000,41017,
41000,41015,
41000,41037,
41000,41023,
41000,41021,
41000,41033,
41000,41009,
41000,41005,
41000,41051,
41000,41011,
41000,41047,
41000,41061,
41000,41049,
41000,41025,
41000,41069,
41000,41067,
41000,41059,
41000,41057,
41000,41007,
41000,41029,
41000,41043,
41000,41041,
2000,2150,
2000,2020,
2000,2185,
2000,2060,
2000,2050,
2000,2016,
2000,2170,
2000,2158,
2000,2070,
2000,2068,
2000,2261,
2000,2188,
2000,2122,
2000,2198,
2000,2195,
2000,2220,
2000,2090,
2000,2282,
2000,2105,
2000,2100,
2000,2180,
2000,2164,
2000,2240,
2000,2013,
2000,2275,
2000,2230,
2000,2130,
2000,2290,
2000,2110,
54000,54107,
54000,54097,
54000,54057,
54000,54081,
54000,54073,
54000,54085,
54000,54005,
54000,54003,
54000,54109,
54000,54015,
54000,54017,
54000,54091,
54000,54027,
54000,54007,
54000,54083,
54000,54063,
54000,54041,
54000,54023,
54000,54105,
54000,54039,
54000,54011,
54000,54067,
54000,54055,
54000,54075,
54000,54089,
54000,54077,
54000,54021,
54000,54025,
54000,54051,
54000,54013,
54000,54093,
54000,54065,
54000,54079,
54000,54071,
54000,54009,
54000,54059,
54000,54049,
54000,54029,
54000,54087,
54000,54037,
54000,54061,
54000,54053,
54000,54101,
54000,54033,
54000,54069,
54000,54095,
54000,54099,
54000,54047,
54000,54035,
54000,54031,
54000,54019,
54000,54103,
54000,54001,
54000,54045,
54000,54043,
27000,27141,
27000,27057,
27000,27133,
27000,27095,
27000,27169,
27000,27135,
27000,27055,
27000,27049,
27000,27015,
27000,27017,
27000,27115,
27000,27109,
27000,27077,
27000,27053,
27000,27033,
27000,27167,
27000,27117,
27000,27081,
27000,27005,
27000,27023,
27000,27113,
27000,27045,
27000,27149,
27000,27131,
27000,27091,
27000,27065,
27000,27137,
27000,27155,
27000,27073,
27000,27027,
27000,27025,
27000,27171,
27000,27143,
27000,27159,
27000,27031,
27000,27021,
27000,27163,
27000,27173,
27000,27147,
27000,27125,
27000,27111,
27000,27087,
27000,27071,
27000,27161,
27000,27093,
27000,27037,
27000,27121,
27000,27013,
27000,27145,
27000,27083,
27000,27051,
27000,27001,
27000,27105,
27000,27043,
27000,27129,
27000,27069,
27000,27047,
27000,27035,
27000,27157,
27000,27165,
27000,27099,
27000,27039,
27000,27097,
27000,27107,
27000,27075,
27000,27127,
27000,27079,
27000,27003,
27000,27089,
27000,27067,
27000,27011,
27000,27009,
27000,27153,
27000,27119,
27000,27085,
27000,27007,
27000,27059,
27000,27139,
27000,27101,
27000,27063,
27000,27061,
27000,27151,
27000,27029,
27000,27103,
27000,27041,
27000,27019,
27000,27123,
12000,12129,
12000,12055,
12000,12003,
12000,12119,
12000,12005,
12000,12051,
12000,12041,
12000,12029,
12000,12127,
12000,12133,
12000,12053,
12000,12101,
12000,12109,
12000,12023,
12000,12007,
12000,12086,
12000,12033,
12000,12021,
12000,12095,
12000,12115,
12000,12089,
12000,12039,
12000,12001,
12000,12071,
12000,12125,
12000,12121,
12000,12117,
12000,12099,
12000,12047,
12000,12015,
12000,12105,
12000,12111,
12000,12091,
12000,12075,
12000,12069,
12000,12045,
12000,12043,
12000,12107,
12000,12085,
12000,12097,
12000,12013,
12000,12113,
12000,12027,
12000,12093,
12000,12049,
12000,12019,
12000,12035,
12000,12123,
12000,12009,
12000,12131,
12000,12081,
12000,12057,
12000,12103,
12000,12087,
12000,12061,
12000,12037,
12000,12083,
12000,12065,
12000,12017,
12000,12031,
12000,12059,
12000,12011,
12000,12073,
12000,12063,
12000,12079,
12000,12077,
12000,12067,
16000,16027,
16000,16025,
16000,16085,
16000,16017,
16000,16081,
16000,16007,
16000,16037,
16000,16015,
16000,16077,
16000,16067,
16000,16011,
16000,16075,
16000,16045,
16000,16073,
16000,16021,
16000,16069,
16000,16059,
16000,16041,
16000,16043,
16000,16009,
16000,16005,
16000,16001,
16000,16047,
16000,16065,
16000,16049,
16000,16083,
16000,16063,
16000,16033,
16000,16061,
16000,16051,
16000,16003,
16000,16019,
16000,16053,
16000,16087,
16000,16035,
16000,16029,
16000,16071,
16000,16039,
16000,16079,
16000,16023,
16000,16057,
16000,16055,
16000,16031,
16000,16013,
56000,56045,
56000,56013,
56000,56037,
56000,56005,
56000,56001,
56000,56031,
56000,56033,
56000,56027,
56000,56021,
56000,56015,
56000,56011,
56000,56009,
56000,56023,
56000,56043,
56000,56029,
56000,56039,
56000,56025,
56000,56035,
56000,56041,
56000,56019,
56000,56007,
56000,56017,
56000,56003,
26000,26013,
26000,26087,
26000,26029,
26000,26155,
26000,26095,
26000,26019,
26000,26151,
26000,26127,
26000,26119,
26000,26041,
26000,26061,
26000,26163,
26000,26123,
26000,26085,
26000,26037,
26000,26015,
26000,26003,
26000,26141,
26000,26131,
26000,26101,
26000,26011,
26000,26063,
26000,26001,
26000,26051,
26000,26135,
26000,26139,
26000,26097,
26000,26159,
26000,26147,
26000,26109,
26000,26033,
26000,26081,
26000,26023,
26000,26137,
26000,26107,
26000,26099,
26000,26075,
26000,26017,
26000,26165,
26000,26161,
26000,26153,
26000,26091,
26000,26049,
26000,26035,
26000,26057,
26000,26047,
26000,26045,
26000,26027,
26000,26125,
26000,26157,
26000,26117,
26000,26105,
26000,26089,
26000,26079,
26000,26067,
26000,26039,
26000,26111,
26000,26077,
26000,26009,
26000,26103,
26000,26025,
26000,26129,
26000,26073,
26000,26069,
26000,26055,
26000,26005,
26000,26145,
26000,26133,
26000,26121,
26000,26083,
26000,26007,
26000,26149,
26000,26115,
26000,26065,
26000,26053,
26000,26031,
26000,26143,
26000,26113,
26000,26093,
26000,26043,
26000,26071,
26000,26059,
26000,26021,
4000,4013,
4000,4023,
4000,4017,
4000,4003,
4000,4011,
4000,4019,
4000,4005,
4000,4025,
4000,4012,
4000,4009,
4000,4007,
4000,4021,
4000,4015,
4000,4027,
4000,4001,
33000,33017,
33000,33013,
33000,33009,
33000,33019,
33000,33005,
33000,33011,
33000,33015,
33000,33001,
33000,33003,
33000,33007,
37000,37091,
37000,37025,
37000,37133,
37000,37079,
37000,37183,
37000,37147,
37000,37073,
37000,37041,
37000,37083,
37000,37055,
37000,37153,
37000,37119,
37000,37069,
37000,37065,
37000,37017,
37000,37013,
37000,37007,
37000,37039,
37000,37173,
37000,37061,
37000,37043,
37000,37019,
37000,37191,
37000,37081,
37000,37149,
37000,37131,
37000,37067,
37000,37047,
37000,37005,
37000,37077,
37000,37029,
37000,37129,
37000,37143,
37000,37137,
37000,37105,
37000,37075,
37000,37059,
37000,37057,
37000,37027,
37000,37187,
37000,37139,
37000,37125,
37000,37099,
37000,37109,
37000,37199,
37000,37195,
37000,37163,
37000,37093,
37000,37033,
37000,37157,
37000,37135,
37000,37071,
37000,37115,
37000,37063,
37000,37175,
37000,37171,
37000,37117,
