fips,name,alias,pop2010,pop2020,pctchg
39000,Ohio,OH,11536504,11689100,1.31
28000,Mississippi,MS,2967297,2976149,0.3
45000,South Carolina,SC,4625364,5148714,10.16
36000,New York,NY,19378102,19453561,0.39
49000,Utah,UT,2763885,3205958,13.79
41000,Oregon,OR,3831074,4217737,9.17
2000,Alaska,AK,710231,731545,2.91
31000,Nebraska,NE,1826341,1934408,5.59
21000,Kentucky,KY,4339367,4467673,2.87
1000,Alabama,AL,4779736,4903185,2.52
48000,Texas,TX,25145561,28995881,13.28
18000,Indiana,IN,6483802,6732219,3.69
10000,Delaware,DE,897934,973764,7.79
15000,Hawaii,HI,1360301,1415872,3.92
40000,Oklahoma,OK,3751351,3956971,5.2
23000,Maine,ME,1328361,1344212,1.18
9000,Connecticut,CT,3574097,3565287,-0.25
17000,Illinois,IL,12830632,12671821,-1.25
42000,Pennsylvania,PA,12702379,12801989,0.78
13000,Georgia,GA,9687653,10617423,8.76
11000,District of Columbia,DC,601723,705749,14.74
35000,New Mexico,NM,2059179,2096829,1.8
47000,Tennessee,TN,6346105,6829174,7.07
72000,Puerto Rico,PR,0,0,0
54000,West Virginia,WV,1852994,1792147,-3.4
27000,Minnesota,MN,5303925,5639632,5.95
12000,Florida,FL,18801310,21477737,12.46
6000,California,CA,37253956,39512223,5.72
53000,Washington,WA,6724540,7614893,11.69
24000,Maryland,MD,5773552,6045680,4.5
22000,Louisiana,LA,4533372,4648794,2.48
16000,Idaho,ID,1567582,1787065,12.28
5000,Arkansas,AR,2915918,3017804,3.38
56000,Wyoming,WY,563626,578759,2.61
26000,Michigan,MI,9883640,9986857,1.03
4000,Arizona,AZ,6392017,7278717,12.18
51000,Virginia,VA,8001024,8535519,6.26
46000,South Dakota,SD,814180,884659,7.97
25000,Massachusetts,MA,6547629,6892503,5
8000,Colorado,CO,5029196,5758736,12.67
34000,New Jersey,NJ,8791894,8882190,1.02
29000,Missouri,MO,5988927,6137428,2.42
55000,Wisconsin,WI,5686986,5822434,2.33
44000,Rhode Island,RI,1052567,1059361,0.64
50000,Vermont,VT,625741,623989,-0.28
20000,Kansas,KS,2853118,2913314,2.07
33000,New Hampshire,NH,1316470,1359711,3.18
37000,North Carolina,NC,9535483,10488084,9.08
30000,Montana,MT,989415,1068778,7.43
38000,North Dakota,ND,672591,762062,11.74
32000,Nevada,NV,2700551,3080156,12.32
19000,Iowa,IA,3046355,3155070,3.45
