from,to,
1700071240,17119,
3300069940,33017,
1300071492,13067,
5500074400,55131,
2700060844,27015,
4700069080,47043,
1700069524,17163,
100069840,1049,
2100070050,21211,
3400066570,34017,
1200064875,12055,
5300062288,53033,
1900056370,19173,
2600055820,26099,
1800046908,18053,
2600042460,26125,
3900043554,39003,
1200053800,12099,
1200046550,12043,
3900036568,39173,
3900051618,39077,
2000047600,20049,
1300052108,13231,
600073262,6081,
4800048768,48215,
2700046060,27111,
2900053462,29189,
1900052095,19059,
2000045700,20139,
1900052860,19085,
5500050025,55057,
3700058840,37163,
3800049580,38063,
2600055540,26107,
3900056182,39061,
100045496,1013,
100045496,1035,
1800045000,18135,
4200048000,42051,
2100047062,21149,
1300049924,13193,
3900047992,39175,
2500038715,25017,
100068280,1055,
100068280,1095,
200042160,2195,
4800046668,48067,
4000046150,40141,
2900044390,29117,
4800043024,48279,
5100067000,51760,
1700056341,17177,
4700045320,47123,
2900045470,29137,
1300049196,13211,
600036280,6025,
500036310,5093,
1700045278,17195,
2100048288,21095,
600043224,6059,
1700058447,17143,
1700058447,17179,
1700059709,17119,
1700059709,17005,
1200051200,12093,
3700036060,37055,
2100053130,21231,
100043384,1023,
2600044480,26113,
800051635,8105,
1700045421,17031,
1900039225,19077,
2900040916,29141,
2900040916,29029,
2700055546,27135,
3700035200,37025,
3700035200,37159,
1200055075,12005,
1700044927,17025,
3600038781,36035,
1200045025,12086,
4800049380,48201,
4800049380,48071,
100044536,1085,
3100037910,31065,
3100037910,31083,
100047728,1073,
2900049574,29139,
5500039150,55081,
2100067656,21209,
2600044940,26125,
5600041353,56019,
4200037192,42033,
2200038670,22049,
2000038500,20155,
2000048900,20173,
1600045910,16059,
600036448,6065,
2900056414,29189,
1900070590,19181,
4500053845,45083,
5300059145,53063,
4800047796,48441,
5400064516,54079,
4900064670,49013,
500033850,5001,
500033850,5069,
1800035266,18003,
4000060250,40101,
2000033500,20191,
3700063680,37005,
5400039652,54047,
2100066486,21111,
2900048476,29217,
4700037960,47089,
5500055875,55141,
4700053140,47025,
1900064290,19043,
1900064290,19005,
4800057056,48355,
3100035980,31101,
1700040598,17011,
600041474,6061,
4900051580,49037,
2200036885,22017,
600062000,6065,
3700039880,37071,
4200037000,42003,
1300042184,13297,
2000037125,20007,
3900059066,39145,
4200041440,42045,
5100040024,51005,
2700054880,27109,
3900039340,39089,
2900054200,29031,
4800054912,48179,
500041420,5085,
1800064422,18135,
600066140,6037,
3800042700,38025,
2900055388,29185,
2200051410,22073,
3900054432,39157,
4000054200,40107,
2000044925,20113,
3800039980,38035,
2700036746,27143,
2700036746,27079,
1300054264,13019,
2900051572,29145,
5100048952,51683,
5100043176,51117,
3700045140,37025,
3700036400,37107,
100039520,1075,
600053896,6071,
4700048980,47165,
4700048980,47147,
1700050621,17179,
3100024915,31127,
2700045808,27079,
2700045808,27139,
1300064960,13179,
100039280,1127,
1600043570,16083,
3900048342,39095,
1300048848,13319,
2700035414,27163,
4900070850,49035,
1800043434,18161,
1900043410,19119,
5300038495,53063,
5100041832,51111,
500046670,5003,
4800042016,48491,
4800042016,48453,
3800066040,38017,
3000067450,30101,
4200042688,42011,
3800066260,38035,
3800066260,38097,
3600050397,36059,
1800043074,18065,
1300042425,13121,
1800051714,18065,
3900053102,39083,
1700051232,17173,
1700051232,17021,
1900055065,19039,
4800042568,48291,
4200060264,42043,
2600061860,26155,
2600061860,26037,
5500055700,55057,
2700045196,27131,
4900050040,49001,
5400073468,54037,
2900051680,29027,
5300047245,53025,
3900055216,39157,
500049010,5063,
1800060246,18063,
4800056996,48189,
1700052623,17041,
2100055884,21037,
500052940,5057,
4500050290,45047,
2700046348,27035,
4800040744,48439,
4800051588,48177,
4800051588,48493,
3400053040,34031,
1700053793,17131,
3900073824,39145,
1700053871,17031,
100048832,1129,
2200056295,22037,
4000059700,40051,
1800040860,18087,
4000053550,40021,
4000053550,40041,
4000053700,40147,
3600045106,36059,
4200046072,42003,
4200046072,42125,
2600062020,26125,
100057648,1045,
3600056187,36117,
4800055056,48497,
3700057340,37159,
2000054575,20127,
2100061554,21111,
2900061112,29209,
3800061860,38063,
4600049500,46093,
4800057968,48501,
4700059020,47173,
3600059245,36007,
2700032606,27007,
3600059498,36009,
5100054984,51131,
2900059186,29143,
2900059186,29155,
100062496,1097,
4600046180,46085,
2700052558,27067,
4800059748,48121,
2700052756,27065,
800062660,8041,
1600066340,16055,
2900060842,29003,
1900065955,19099,
2000058725,20011,
4600045180,46019,
500058880,5041,
4600054020,46085,
3600061148,36083,
5400067996,54081,
2900061706,29189,
3400053490,34009,
600036294,6073,
4700065760,47053,
3700036860,37159,
100050000,1097,
4800065648,48411,
100067920,1049,
100067920,1019,
2500052144,25013,
3100023235,31179,
4200035520,42127,
200033140,2122,
3700031860,37083,
3500032520,35025,
2700029402,27027,
2600038380,26119,
2600038380,26007,
1700034722,17097,
3100022290,31111,
2700028520,27111,
1700034098,17155,
