from,to,
35000,3500070500,
39000,3900018000,
28000,2800036000,
45000,4500016000,
36000,3600001000,
49000,4900067000,
41000,4100064900,
2000,200036400,
10000,1000021200,
53000,5300051300,
16000,1600008830,
56000,5600013900,
26000,2600046000,
4000,400055000,
50000,5000046000,
20000,2000071000,
51000,5100067000,
46000,4600049600,
25000,2500007000,
8000,800020000,
38000,3800007200,
32000,3200009700,
19000,1900021000,
47000,4700052006,
17000,1700072000,
31000,3100028000,
21000,2100028900,
1000,100051000,
48000,4800005000,
18000,1800036003,
42000,4200032800,
13000,1300004000,
54000,5400014600,
27000,2700058000,
12000,1200070600,
15000,1500071550,
40000,4000055000,
23000,2300002100,
9000,900037000,
6000,600064000,
24000,2400001600,
22000,2200055000,
55000,5500048000,
5000,500041000,
37000,3700055000,
44000,4400059000,
34000,3400074000,
29000,2900037000,
33000,3300014200,
30000,3000035600,
