from,to,
16000,1600045820,
16000,1600065260,
16000,1600012250,
16000,1600082360,
16000,1600070660,
16000,1600040330,
16000,1600061840,
16000,1600022600,
16000,1600080380,
16000,1600086320,
16000,1600045910,
16000,1600043570,
16000,1600066340,
16000,1600001990,
16000,1600019900,
16000,1600028810,
16000,1600077500,
16000,1600043030,
16000,1600054550,
16000,1600063910,
16000,1600003970,
16000,1600079120,
16000,1600087040,
16000,1600045370,
16000,1600003610,
16000,1600005230,
16000,1600085240,
16000,1600055270,
16000,1600044110,
16000,1600061210,
16000,1600058330,
16000,1600058870,
16000,1600038620,
16000,1600036730,
16000,1600013780,
16000,1600003700,
16000,1600023680,
16000,1600025570,
16000,1600048790,
16000,1600007840,
16000,1600029620,
16000,1600080200,
16000,1600052750,
16000,1600067870,
16000,1600015490,
16000,1600036460,
16000,1600022330,
16000,1600032770,
16000,1600013240,
16000,1600023410,
16000,1600040600,
16000,1600078040,
16000,1600042580,
16000,1600040420,
16000,1600044290,
16000,1600064450,
16000,1600088480,
16000,1600078850,
16000,1600052030,
16000,1600055450,
16000,1600068500,
16000,1600038170,
16000,1600012790,
16000,1600018820,
16000,1600006220,
16000,1600032950,
16000,1600051850,
16000,1600057250,
16000,1600065530,
16000,1600059320,
16000,1600009370,
16000,1600084790,
16000,1600086050,
16000,1600016120,
16000,1600034390,
16000,1600022690,
16000,1600028990,
16000,1600054730,
16000,1600039070,
16000,1600064810,
16000,1600001000,
16000,1600085420,
16000,1600075070,
16000,1600052120,
16000,1600059590,
16000,1600046540,
16000,1600027910,
16000,1600019270,
16000,1600080470,
16000,1600053920,
16000,1600018640,
16000,1600027550,
16000,1600077050,
16000,1600087310,
16000,1600075195,
16000,1600064090,
16000,1600041320,
16000,1600039700,
16000,1600071650,
16000,1600063100,
16000,1600064900,
16000,1600001900,
16000,1600049240,
16000,1600042400,
16000,1600040510,
16000,1600063550,
16000,1600008830,
16000,1600076870,
16000,1600056890,
16000,1600072100,
16000,1600035830,
16000,1600011260,
16000,1600003340,
16000,1600034570,
16000,1600076060,
16000,1600082810,
16000,1600060040,
16000,1600050230,
16000,1600056800,
16000,1600060940,
16000,1600009730,
16000,1600067600,
16000,1600044200,
16000,1600067780,
16000,1600020980,
16000,1600021790,
16000,1600030340,
16000,1600032500,
16000,1600071470,
16000,1600084250,
16000,1600046720,
16000,1600058060,
16000,1600052660,
16000,1600060760,
16000,1600011710,
16000,1600004420,
16000,1600020350,
16000,1600020890,
16000,1600050140,
16000,1600048880,
16000,1600058600,
16000,1600067420,
16000,1600026290,
16000,1600055630,
16000,1600035200,
16000,1600014680,
16000,1600020710,
16000,1600086140,
16000,1600071110,
16000,1600073900,
16000,1600060580,
16000,1600067150,
16000,1600032140,
16000,1600008470,
16000,1600027460,
16000,1600033490,
16000,1600034300,
16000,1600042760,
16000,1600054100,
16000,1600055900,
16000,1600062740,
16000,1600013150,
16000,1600000280,
16000,1600008560,
16000,1600038440,
16000,1600071020,
16000,1600075970,
16000,1600073450,
16000,1600053110,
16000,1600014950,
16000,1600003160,
16000,1600030160,
16000,1600037360,
16000,1600034930,
16000,1600056260,
16000,1600067960,
16000,1600038080,
16000,1600016750,
16000,1600010810,
16000,1600019720,
16000,1600036370,
16000,1600042130,
16000,1600050950,
16000,1600039610,
16000,1600056980,
16000,1600061300,
16000,1600000100,
16000,1600031690,
16000,1600022510,
16000,1600087850,
16000,1600022960,
16000,1600024310,
16000,1600025120,
16000,1600022780,
16000,1600076780,
16000,1600069130,
16000,1600012520,
16000,1600027730,
16000,1600087670,
16000,1600083350,
44000,4400054640,
44000,4400019180,
44000,4400080780,
44000,4400022960,
44000,4400074300,
44000,4400049960,
44000,4400059000,
44000,4400014140,
50000,5000066175,
50000,5000054850,
50000,5000046000,
50000,5000036475,
50000,5000003475,
50000,5000079150,
50000,5000048325,
50000,5000085900,
50000,5000004225,
50000,5000017500,
50000,5000010675,
50000,5000011425,
50000,5000053125,
50000,5000024400,
50000,5000078025,
50000,5000041950,
50000,5000052075,
50000,5000017425,
50000,5000024025,
50000,5000053575,
50000,5000034975,
50000,5000061675,
50000,5000043525,
50000,5000000400,
50000,5000049075,
50000,5000071650,
50000,5000041200,
50000,5000056800,
50000,5000003175,
50000,5000046825,
50000,5000048850,
50000,5000037000,
50000,5000081325,
50000,5000085150,
50000,5000061225,
50000,5000000850,
50000,5000062950,
50000,5000074650,
50000,5000042700,
50000,5000048100,
50000,5000036025,
20000,2000058300,
20000,2000034225,
20000,2000039825,
20000,2000064050,
20000,2000050475,
20000,2000053450,
20000,2000057350,
20000,2000063350,
20000,2000004900,
20000,2000001775,
20000,2000020425,
20000,2000013925,
20000,2000002850,
20000,2000017850,
20000,2000017925,
20000,2000020950,
20000,2000030000,
20000,2000002900,
20000,2000059050,
20000,2000039100,
20000,2000063675,
20000,2000043775,
20000,2000057525,
20000,2000053200,
20000,2000053375,
20000,2000044375,
20000,2000042575,
20000,2000031400,
20000,2000005600,
20000,2000017225,
20000,2000005825,
20000,2000006500,
20000,2000005337,
20000,2000021350,
20000,2000079675,
20000,2000069775,
20000,2000070800,
20000,2000071925,
20000,2000073775,
20000,2000074075,
20000,2000047600,
20000,2000045700,
20000,2000038500,
20000,2000048900,
20000,2000033500,
20000,2000037125,
20000,2000044925,
20000,2000054575,
20000,2000058725,
20000,2000013675,
20000,2000012500,
20000,2000001550,
20000,2000021675,
20000,2000020050,
20000,2000015725,
20000,2000022775,
20000,2000025375,
20000,2000019875,
20000,2000077200,
20000,2000071575,
20000,2000035375,
20000,2000038175,
20000,2000043150,
20000,2000059675,
20000,2000045250,
20000,2000049925,
20000,2000034275,
20000,2000063875,
20000,2000054250,
20000,2000055450,
20000,2000057625,
20000,2000060825,
20000,2000004350,
20000,2000028300,
20000,2000003100,
20000,2000001675,
20000,2000002250,
20000,2000020025,
20000,2000019275,
20000,2000020500,
20000,2000023650,
20000,2000006950,
